question|optionA|optionB|optionC|optionD|answer|fact
Kapil Dev's famous 175* against Zimbabwe in the 1983 World Cup was not televised because of a strike at which broadcaster?|BBC|ITV|Doordarshan|Channel 4|A|No footage of Kapil Dev's unbeaten 175 exists because BBC technicians were on strike during the match.
Which famous painting was stolen from the Louvre in 1911 and remained missing for more than two years?|Guernica|Mona Lisa|The Scream|The Last Supper|B|The theft helped transform the Mona Lisa into one of the world's most famous paintings.
Which cricketer is the only player to have scored a century before lunch on the first day of a Test match?|Virender Sehwag|David Warner|Victor Trumper|Don Bradman|C|Victor Trumper achieved this feat against England at Old Trafford in 1902.
Which Indian city was once nicknamed the Leningrad of India because of its strong communist influence?|Kolkata|Thiruvananthapuram|Kanpur|Vijayawada|A|Kolkata was one of the major centres of communist politics in India during the twentieth century.
The title of George Orwell's novel 1984 is widely believed to have been derived by reversing the last two digits of which year?|1946|1947|1948|1949|C|Orwell completed the manuscript in 1948 and likely reversed the final two digits for the title.
Which Indian cricketer was dismissed hit wicket in both innings of the same Test match?|Sunil Gavaskar|Sachin Tendulkar|Lala Amarnath|VVS Laxman|C|Lala Amarnath remains one of the rare players to be hit wicket in both innings of a Test.
The logo of which automobile manufacturer is commonly interpreted as a propeller although that explanation is partly a later marketing myth?|BMW|Saab|Skoda|Audi|A|BMW's roundel originated from Bavarian colours and only later became associated with aircraft propellers.
Which country hosted the famous 1972 World Chess Championship match between Bobby Fischer and Boris Spassky?|Norway|Iceland|Sweden|Finland|B|The match was played in Reykjavik and became one of the defining sporting events of the Cold War.
Which tennis player was nicknamed The Crocodile?|Ivan Lendl|Mats Wilander|Yannick Noah|Henri Leconte|C|Yannick Noah remains the last French man to win the French Open singles title.
Which football club won the first edition of the European Cup in 1956?|AC Milan|Real Madrid|Benfica|Manchester United|B|Real Madrid won the first five editions of the European Cup.
Only one cricketer represented both India and England in international cricket. His grandson later became one of India's most recognizable public figures. Who is the grandson?|Ajay Jadeja|Saif Ali Khan|Mansoor Ali Khan Pataudi|Hanumant Singh|B|Iftikhar Ali Khan Pataudi played for both England and India. His grandson is actor Saif Ali Khan.
In 1911 Bundy Manufacturing International Time Recording Tabulating Machine Company and Computing Scale Company merged to form CTR. What was CTR renamed in 1924?|IBM|Xerox|AT&T|Honeywell|A|CTR became International Business Machines or IBM in 1924.
Haji Mastan married Shahjahan Begum because she resembled which legendary actress he admired?|Nargis|Meena Kumari|Madhubala|Nutan|C|Mastan was reportedly fascinated by Madhubala after watching her films and married a lookalike.
Demand for photos of Jennifer Lopez's green dress at the 2000 Grammys directly led to the launch of which Google product in 2001?|Google Maps|Google News|Google Scholar|Google Images|D|The overwhelming demand for images of the dress inspired Google to create Image Search.
What common cricketing distinction links Inzamam-ul-Haq Sadagoppan Ramesh and Virat Kohli?|Test century on debut|Wicket with first ball bowled|Hat-trick in domestic cricket|Run out on debut|B|All three took a wicket with the first ball they bowled in international cricket.
Founded under a banyan tree in Bombay during the 1850s what institution later became one of India's most important financial organizations?|Reserve Bank of India|Bombay Stock Exchange|Life Insurance Corporation|State Bank of India|B|The Bombay Stock Exchange traces its origins to traders gathering under a banyan tree near Bombay Town Hall.
Which two Indian legends inflicted Don Bradman's only hit-wicket and only stumped dismissals in Test cricket?|Kapil Dev and Bishan Singh Bedi|Lala Amarnath and Vinoo Mankad|CK Nayudu and Vijay Hazare|Polly Umrigar and Subhash Gupte|B|Bradman was stumped by Lala Amarnath and hit wicket off Vinoo Mankad.
What was unusual about the date on which Jason Gillespie scored his unbeaten 201 as a nightwatchman against Bangladesh?|It was his wedding anniversary|It was Australia's national day|It was his birthday|It was his final Test victory|C|Jason Gillespie scored his famous double century on his birthday 19 April 2006.
Ajay Bhatt led the development of which technology standard that revolutionized PC connectivity?|HDMI|Ethernet|Bluetooth|USB|D|Universal Serial Bus was designed to simplify device connectivity and became the global standard.
Newton Heath LYR Football Club is known today by what name?|Liverpool FC|Manchester United FC|Arsenal FC|Everton FC|B|Newton Heath changed its name to Manchester United in 1902.
Which famous Indian was once offered the post of Prime Minister of India by both Jawaharlal Nehru and later Indira Gandhi but declined on both occasions?|JRD Tata|Verghese Kurien|C Rajagopalachari|Nani Palkhivala|A|JRD Tata was reportedly approached more than once for a political role but preferred to remain in industry.
Which chess world champion never lost a World Championship match and retired while still champion?|Magnus Carlsen|Bobby Fischer|Jose Raul Capablanca|Garry Kasparov|B|Bobby Fischer never defended his title after winning it in 1972 and thus never lost a championship match.
Which automobile company derives its name from the Latin translation of its founder's surname meaning listen?|Audi|Volvo|Skoda|Saab|A|August Horch translated Horch meaning listen into Latin and created Audi.
